Facility_Name	Process	Street	City	State	Zip	Latitude	Longitude	Accidents	Total_No_Chemicals	Chemical_Names
"BEI Hawaii -  Barbers Point Facility, Oahu"	3	91-150 Kaomi Loop	Kapolei	HI	96707	21.30174329	-158.1028338	1	4	Public OCA Chemical; Sulfur dioxide (anhydrous); Ammonia (anhydrous); Chlorine
Tesoro Hawaii Corporation- Refinery	3	91-325 Komohana Street	Kapolei	HI	96707	21.30551278	-158.0952958	3	2	Public OCA Chemical; Flammable Mixture
The Gas Company SNG Plant	3	91-390 Kauhi Street	Kapolei	HI	96707	21.30846803	-158.0991602	0	2	Public OCA Chemical; Flammable Mixture
Chevron Refinery - 2009	3	91-480 MALAKOLE STREET	KAPOLEI	HI	96707	21.31311484	-158.1103476	0	2	Public OCA Chemical; Flammable Mixture
Unicold Corporation	3	3140 Ualena Street	Honolulu	HI	96819	21.3347438	-157.9113175	0	2	Public OCA Chemical; Ammonia (anhydrous)
"BEI Hawaii -  Puhi Facility, Kauai"	3	1875 Haleukana Street	Lihue	HI	96766	21.95914626	-159.3923728	0	2	Public OCA Chemical; Chlorine
"Trex Hawaii, LLC"	3	3038 Aukele St.	Lihue	HI	96766	21.96755052	-159.3568088	0	2	"Public OCA Chemical; Methyltrichlorosilane  [Silane, trichloromethyl-]"
FKAA/ J. Robert Dean Water Treatment Plant	3	35400 SW 192 Ave.	Florida City	FL	33034	25.43861761	-80.50157936	1	2	Public OCA Chemical; Chlorine
Harris Field Water Treatment Plant	3	U.S 1 and S.W. 312 Street	Homestead	FL	33030	25.481403	-80.505418	0	2	Public OCA Chemical; Chlorine
Wittkop Park Water Treatment Plant	3	N.W. 9th Street and 4th Avenue	Homestead	FL	33030	25.481403	-80.505418	0	2	Public OCA Chemical; Chlorine
Alexander Orr Water Treatment Plant	3	6800 SW 87 Ave	Miami	FL	33173	25.70594819	-80.33442285	0	2	Public OCA Chemical; Chlorine
Central District Wastewater Treatment Plant	3	3989 Rickenbacker Causeway	Miami	FL	33233	25.732156	-80.241534	0	3	Public OCA Chemical; Chlorine; Methane
"Airgas USA, LLC - Miami"	3	9030 NW 58th St.	Doral	FL	33178	25.82573107	-80.34417704	0	2	Public OCA Chemical; Acetylene  [Ethyne]
"Sentry Industries, Inc."	3	5687 N.W. 36th Avenue	Miami	FL	33142	25.82650712	-80.25514982	0	2	Public OCA Chemical; Chlorine
John E. Preston Water Treatment Plant	3	1100 W 2nd Avenue	Hialeah	FL	33010	25.83165354	-80.28667886	0	2	Public OCA Chemical; Chlorine
"McArthur Dairy, LLC"	3	6851 NE 2nd Avenue	Miami	FL	33138	25.83767499	-80.19137035	0	2	Public OCA Chemical; Ammonia (anhydrous)
"Sysco South Florida, Inc."	3	12500 Sysco Way	Medley	FL	33178	25.85677	-80.41599	0	2	Public OCA Chemical; Ammonia (anhydrous)
ALLIED UNIVERSAL CORPORATION	3	8350 NW 93RD STREET	MIAMI	FL	33166	25.85797597	-80.33091367	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
"FLEXIBLE FOAM PRODUCTS, INC."	2	3225 NW 107TH ST.	MIAMI	FL	33167	25.87208994	-80.25157682	0	2	"Public OCA Chemical; Toluene 2,4-diisocyanate  [Benzene, 2,4-diisocyanato-1-methyl-]"
"United States Cold Storage, Medley"	3	11801 NW 102nd Road	Medley	FL	33178	25.87460637	-80.36811351	0	2	Public OCA Chemical; Ammonia (anhydrous)
Miami Distribution Center	3	3300 N.W. 123rd Street	Miami	FL	33167	25.88419495	-80.25504608	0	2	Public OCA Chemical; Ammonia (anhydrous)
"Preferred Freezer Services of South Florida, LLC"	3	12855 NW 113th Court	MIami	FL	33178	25.88995151	-80.37515124	0	2	Public OCA Chemical; Ammonia (anhydrous)
South Wastewater Treatment Plant	2	2800 East Avenue	Brownsville	TX	78521	25.89782287	-97.46579213	0	2	Public OCA Chemical; Chlorine
Water Plant #1	2	94 West 13th Street	Brownsville	TX	78520	25.91556556	-97.51903614	0	2	Public OCA Chemical; Chlorine
Rich Products Corporation	3	3555 East 14th Street	Brownsville	TX	78521	25.91790614	-97.47395835	0	2	Public OCA Chemical; Ammonia (anhydrous)
Water Plant #2	2	1425 Robinhood Drive	Brownsville	TX	78521	25.92593972	-97.47302388	0	2	Public OCA Chemical; Chlorine
Reverse Osmosis Water Treatment Facility	2	1255 FM 511	Brownsville	TX	78521	25.92999042	-97.40732867	0	2	Public OCA Chemical; Chlorine
